Report_Date,Location,Vegetation_Details,Land_Size(Acres),Season,Species,Stage,Soil_Type,Distribution,GPS_Coordinates
2020-12-30,North Pokot District,Staple Crops,217.4517819944239,Wet Season/Long Rains(April-June),Bombay Locust ( Nomadacris succincta),Hoppers/Nymph(Breeding Ground),Peat Soil,Entire Area,"(Decimal('-50.3621385'), Decimal('-155.142775'))"
2024-05-15,Bunyula District,Staple Crops,509.8075173620884,Wet Season/Short Rains(November-December),Desert Locusts(Schistocerca gregaria),Fledglings(Young Adults),Laterite Soil,Unknown,"(Decimal('-73.1191965'), Decimal('125.466838'))"
2022-11-19,Tana River District,Fruit Orchards,662.3908288536217,Dry/Cold Season(July-August),Migratory locust (Locusta migratoria),Adults,Peat Soil,Entire Area,"(Decimal('-29.0446795'), Decimal('-1.957962'))"
2020-10-11,Mbeere North District,Vegetable Crops,140.29119261869172,Dry/Cold Season(July-August),Unknown,Hoppers/Nymph(Breeding Ground),Laterite Soil,Entire Area,"(Decimal('2.6222505'), Decimal('110.900807'))"
2021-04-16,Mandera West District,Pasture and Grasslands,438.11598326310417,Dry/Cold Season(July-August),Migratory locust (Locusta migratoria),Adults,Clay Soil,Entire Area,"(Decimal('39.1766445'), Decimal('48.088629'))"
2023-08-29,Kakamega North District,Fruit Orchards,712.322810324611,Dry/Cold Season(July-August),Tree locust (Anacridium sp.),Fledglings(Young Adults),Clay Soil,Unknown,"(Decimal('-83.7449125'), Decimal('-139.986897'))"
2023-04-15,Mogotio District,Fruit Orchards,180.98348196964545,Dry/Cold Season(July-August),Tree locust (Anacridium sp.),Fledglings(Young Adults),Peat Soil,Paddock Only,"(Decimal('75.6980995'), Decimal('-94.050918'))"
2023-03-03,Eldoret West District,Vegetable Crops,948.0906510993688,Dry/Hot Season(January-March),Tree locust (Anacridium sp.),Adults,Loam Soil,Entire Field,"(Decimal('-63.2095815'), Decimal('-147.527818'))"
2023-06-09,Isiolo District,Vegetable Crops,646.8797685645957,Dry/Cold Season(July-August),Grasshoppers,Hoppers/Nymph(Breeding Ground),Loam Soil,Paddock Only,"(Decimal('-74.710313'), Decimal('-159.717880'))"
2020-11-14,"districts_data = """"""",Unknown,1.7257272417024345,Dry/Hot Season(January-March),Desert Locusts(Schistocerca gregaria),Hoppers/Nymph(Breeding Ground),Clay Soil,Entire Area,"(Decimal('25.6044415'), Decimal('20.546258'))"
2021-07-13,Westlands District,Fruit Orchards,62.4910050274903,Short Rains/Wet Season(April-June),Tree locust (Anacridium sp.),Fledglings(Young Adults),Loam Soil,Unknown,"(Decimal('47.5963075'), Decimal('-171.789837'))"
2022-10-17,Kibwezi District,Vegetable Crops,860.4553994701002,Short Rains/Wet Season(April-June),Desert Locusts(Schistocerca gregaria),Unknown,Unknown,Entire Area,"(Decimal('35.427196'), Decimal('-103.033830'))"
2024-05-29,Kieni East District,Unknown,931.669772689112,Dry/Hot Season(January-March),Red locust (Nomadacris septemfasciata),Hoppers/Nymph(Breeding Ground),Unknown,Entire Area,"(Decimal('-3.725722'), Decimal('157.905035'))"
2021-08-05,Mwala District,Unknown,84.34512514141569,Dry/Hot Season(January-March),Red locust (Nomadacris septemfasciata),Fledglings(Young Adults),Loose Sandy Soil,Paddock Only,"(Decimal('78.989013'), Decimal('69.960789'))"
2021-09-18,Kakamega North District,Vegetable Crops,96.13089793191946,Short Rains/Wet Season(April-June),Red locust (Nomadacris septemfasciata),Fledglings(Young Adults),Loose Sandy Soil,Entire Field,"(Decimal('-58.251791'), Decimal('45.584451'))"
2020-02-27,Trans Mara District,Staple Crops,511.9365678299011,Dry/Warm Season(September-October),Migratory locust (Locusta migratoria),Adults,Peat Soil,Entire Area,"(Decimal('-50.300395'), Decimal('74.989484'))"
2024-05-13,Mbeere North District,Fruit Orchards,177.1430160982508,Wet Season/Long Rains(April-June),Spur Throated Locusts,Fledglings(Young Adults),Peat Soil,Unknown,"(Decimal('-56.1476075'), Decimal('68.365478'))"
2021-02-24,Kangundo District,Unknown,90.33467718980711,Wet Season/Long Rains(April-June),Spur Throated Locusts,Hoppers/Nymph(Breeding Ground),Loose Sandy Soil,Entire Area,"(Decimal('23.397048'), Decimal('-74.333320'))"
2022-08-21,Laikipia West District,Staple Crops,410.00858000039443,Wet Season/Long Rains(April-June),Red locust (Nomadacris septemfasciata),Adults,Alluvial Soil,Entire Area,"(Decimal('-23.909423'), Decimal('39.451672'))"
2023-02-16,Muranga East District,Pasture and Grasslands,999.5065395860471,Dry/Cold Season(July-August),Grasshoppers,Adults,Peat Soil,Unknown,"(Decimal('-15.1564425'), Decimal('58.164425'))"
2021-02-05,Siaya District,Fruit Orchards,616.9009513452744,Dry/Hot Season(January-March),Grasshoppers,Adults,Peat Soil,Entire Area,"(Decimal('-70.5666875'), Decimal('-43.651730'))"
2024-02-24,Kangundo District,Vegetable Crops,473.223505864765,Wet Season/Long Rains(April-June),Migratory locust (Locusta migratoria),Unknown,Loam Soil,Entire Area,"(Decimal('-60.6883305'), Decimal('165.633874'))"
2021-07-21,Rongo District,Vegetable Crops,467.346927120828,Short Rains/Wet Season(April-June),Grasshoppers,Eggs(Breeding Ground),Loose Sandy Soil,Entire Area,"(Decimal('63.4204425'), Decimal('127.383081'))"
2021-02-21,Kericho District,Vegetable Crops,192.0172253573492,Wet Season/Short Rains(November-December),Bombay Locust ( Nomadacris succincta),Unknown,Clay Soil,Entire Area,"(Decimal('58.6154085'), Decimal('-142.437482'))"
2022-01-10,Mbita District,Pasture and Grasslands,443.537344842235,Dry/Hot Season(January-March),Bombay Locust ( Nomadacris succincta),Hoppers/Nymph(Breeding Ground),Unknown,Entire Field,"(Decimal('54.7682935'), Decimal('85.356133'))"
2022-12-27,North Pokot District,Fruit Orchards,299.89917838841563,Wet Season/Short Rains(November-December),Bombay Locust ( Nomadacris succincta),Eggs(Breeding Ground),Loam Soil,Entire Area,"(Decimal('-48.7839855'), Decimal('-2.845518'))"
2024-05-04,Buret District,Fruit Orchards,546.3390659072553,Wet Season/Long Rains(April-June),Migratory locust (Locusta migratoria),Adults,Unknown,Paddock Only,"(Decimal('64.7771435'), Decimal('162.717689'))"
2022-02-11,Laikipia Central District,Staple Crops,407.6800755571973,Dry/Warm Season(September-October),Desert Locusts(Schistocerca gregaria),Fledglings(Young Adults),Clay Soil,Unknown,"(Decimal('-27.2824095'), Decimal('141.198835'))"
2022-08-04,Nyamache District,Vegetable Crops,801.8924357079678,Dry/Hot Season(January-March),Tree locust (Anacridium sp.),Fledglings(Young Adults),Loose Sandy Soil,Unknown,"(Decimal('-21.678498'), Decimal('9.891920'))"
2021-02-13,Kinango District,Pasture and Grasslands,855.234481948767,Wet Season/Short Rains(November-December),Spur Throated Locusts,Unknown,Unknown,Unknown,"(Decimal('-7.851620'), Decimal('-123.187851'))"
2022-07-15,Kisumu West District,Staple Crops,670.3481160832789,Dry/Cold Season(July-August),Bombay Locust ( Nomadacris succincta),Eggs(Breeding Ground),Alluvial Soil,Entire Area,"(Decimal('-53.5862995'), Decimal('130.069835'))"
2022-09-25,Nyando District,Fruit Orchards,110.05435493616491,Wet Season/Short Rains(November-December),Spur Throated Locusts,Adults,Peat Soil,Entire Field,"(Decimal('-0.728983'), Decimal('-132.887800'))"
2024-02-18,Kuria West District,Staple Crops,234.12523715758488,Short Rains/Wet Season(April-June),Spur Throated Locusts,Fledglings(Young Adults),Alluvial Soil,Entire Field,"(Decimal('44.383023'), Decimal('-18.596046'))"
2021-12-15,Nyakach District,Pasture and Grasslands,78.36913016512466,Dry/Hot Season(January-March),Spur Throated Locusts,Fledglings(Young Adults),Unknown,Entire Area,"(Decimal('38.578292'), Decimal('102.525416'))"
2020-10-04,"""""""",Staple Crops,204.29421960060063,Wet Season/Long Rains(April-June),Bombay Locust ( Nomadacris succincta),Fledglings(Young Adults),Peat Soil,Unknown,"(Decimal('60.822817'), Decimal('-87.894370'))"
2023-11-19,Samburu East District,Fruit Orchards,539.2609721590924,Wet Season/Short Rains(November-December),Spur Throated Locusts,Adults,Peat Soil,Paddock Only,"(Decimal('47.7104985'), Decimal('-170.557707'))"
2021-11-19,Igembe South District,Vegetable Crops,531.883926848338,Dry/Cold Season(July-August),Tree locust (Anacridium sp.),Unknown,Laterite Soil,Unknown,"(Decimal('-46.659718'), Decimal('1.331092'))"
2022-12-24,Nyeri East District,Fruit Orchards,861.4911157035322,Dry/Cold Season(July-August),Spur Throated Locusts,Eggs(Breeding Ground),Clay Soil,Entire Field,"(Decimal('-73.321223'), Decimal('64.315798'))"
2022-10-29,Mukurweini District,Pasture and Grasslands,893.8385529147713,Wet Season/Long Rains(April-June),Tree locust (Anacridium sp.),Hoppers/Nymph(Breeding Ground),Laterite Soil,Unknown,"(Decimal('-28.417337'), Decimal('-72.876877'))"
2021-10-08,Embu West District,Vegetable Crops,795.137564477474,Dry/Hot Season(January-March),Red locust (Nomadacris septemfasciata),Unknown,Peat Soil,Unknown,"(Decimal('-33.1018605'), Decimal('-96.129894'))"
2020-08-05,Kibwezi District,Fruit Orchards,470.6627443243523,Short Rains/Wet Season(April-June),Tree locust (Anacridium sp.),Eggs(Breeding Ground),Peat Soil,Unknown,"(Decimal('84.3645465'), Decimal('75.805458'))"
2021-07-21,Wajir North District,Staple Crops,808.7576938345351,Wet Season/Long Rains(April-June),Grasshoppers,Adults,Loose Sandy Soil,Paddock Only,"(Decimal('8.149605'), Decimal('170.615795'))"
2023-10-04,Buuri District,Fruit Orchards,657.877381636544,Dry/Hot Season(January-March),Desert Locusts(Schistocerca gregaria),Unknown,Loam Soil,Entire Area,"(Decimal('-33.274251'), Decimal('8.272879'))"
2021-04-03,Embu East District,Fruit Orchards,526.476507384795,Short Rains/Wet Season(April-June),Desert Locusts(Schistocerca gregaria),Hoppers/Nymph(Breeding Ground),Clay Soil,Entire Field,"(Decimal('52.7471275'), Decimal('-77.330009'))"
2023-06-28,Nzaui District,Pasture and Grasslands,590.0424963237264,Wet Season/Short Rains(November-December),Tree locust (Anacridium sp.),Adults,Laterite Soil,Unknown,"(Decimal('68.585442'), Decimal('-114.506371'))"
2022-02-05,Gucha District,Unknown,935.0309509066842,Wet Season/Short Rains(November-December),Bombay Locust ( Nomadacris succincta),Fledglings(Young Adults),Peat Soil,Entire Field,"(Decimal('-53.910477'), Decimal('-44.758553'))"
2020-08-05,Kakamega South District,Unknown,883.4353920073754,Wet Season/Short Rains(November-December),Migratory locust (Locusta migratoria),Adults,Loose Sandy Soil,Paddock Only,"(Decimal('-64.458278'), Decimal('179.511396'))"
2023-04-18,South Gucha District,Staple Crops,426.9539412124189,Wet Season/Short Rains(November-December),Grasshoppers,Eggs(Breeding Ground),Loam Soil,Entire Field,"(Decimal('-83.123283'), Decimal('83.735272'))"
2021-11-15,Naivasha District,Fruit Orchards,254.4748132839162,Dry/Hot Season(January-March),Spur Throated Locusts,Eggs(Breeding Ground),Unknown,Unknown,"(Decimal('83.954436'), Decimal('-112.712988'))"
2020-05-06,Igembe North District,Unknown,583.0277856095297,Dry/Hot Season(January-March),Tree locust (Anacridium sp.),Unknown,Peat Soil,Paddock Only,"(Decimal('21.702897'), Decimal('2.508814'))"
2020-07-13,Kilungu District,Staple Crops,693.1118755423166,Wet Season/Long Rains(April-June),Tree locust (Anacridium sp.),Eggs(Breeding Ground),Peat Soil,Entire Area,"(Decimal('24.320250'), Decimal('-16.464715'))"
2023-10-10,Kakamega North District,Vegetable Crops,909.922707592933,Dry/Cold Season(July-August),Tree locust (Anacridium sp.),Hoppers/Nymph(Breeding Ground),Loose Sandy Soil,Entire Area,"(Decimal('-47.0184055'), Decimal('-50.746943'))"
2023-05-13,Nairobi West District,Staple Crops,156.66653149592295,Dry/Warm Season(September-October),Spur Throated Locusts,Adults,Loam Soil,Entire Field,"(Decimal('-69.1940035'), Decimal('155.606421'))"
2020-09-24,Kiambu East District,Fruit Orchards,501.1240795819265,Wet Season/Long Rains(April-June),Spur Throated Locusts,Eggs(Breeding Ground),Peat Soil,Entire Area,"(Decimal('22.3306485'), Decimal('-46.882069'))"
2022-11-28,Nyando District,Fruit Orchards,6.174348937183227,Short Rains/Wet Season(April-June),Spur Throated Locusts,Fledglings(Young Adults),Unknown,Paddock Only,"(Decimal('-87.3530245'), Decimal('-124.311130'))"
2020-03-22,Turkana South District,Staple Crops,466.6407330064141,Dry/Cold Season(July-August),Spur Throated Locusts,Hoppers/Nymph(Breeding Ground),Loose Sandy Soil,Unknown,"(Decimal('-3.2111345'), Decimal('149.387335'))"
2020-03-09,Nairobi North District,Vegetable Crops,682.555510808049,Wet Season/Short Rains(November-December),Tree locust (Anacridium sp.),Adults,Peat Soil,Entire Field,"(Decimal('-24.3445085'), Decimal('20.453749'))"
2024-02-16,Loitoktok District,Vegetable Crops,20.37969134182951,Wet Season/Long Rains(April-June),Spur Throated Locusts,Eggs(Breeding Ground),Peat Soil,Paddock Only,"(Decimal('3.545668'), Decimal('179.197276'))"
2020-10-29,Kisii Central District,Staple Crops,909.5960747131327,Wet Season/Short Rains(November-December),Grasshoppers,Unknown,Unknown,Unknown,"(Decimal('-70.5364415'), Decimal('-123.044099'))"
2021-10-26,Tinderet District,Fruit Orchards,492.1008057837735,Dry/Hot Season(January-March),Tree locust (Anacridium sp.),Eggs(Breeding Ground),Alluvial Soil,Entire Area,"(Decimal('-12.8867565'), Decimal('-120.946662'))"
2023-08-30,Nyamache District,Unknown,719.681079764646,Wet Season/Short Rains(November-December),Migratory locust (Locusta migratoria),Fledglings(Young Adults),Alluvial Soil,Entire Area,"(Decimal('-66.4137845'), Decimal('16.834254'))"
2021-07-28,Mandera West District,Unknown,144.28513555678018,Dry/Hot Season(January-March),Tree locust (Anacridium sp.),Hoppers/Nymph(Breeding Ground),Loam Soil,Paddock Only,"(Decimal('20.2415465'), Decimal('107.286701'))"
2021-09-10,Bungoma East District,Vegetable Crops,139.8894665881164,Wet Season/Long Rains(April-June),Red locust (Nomadacris septemfasciata),Hoppers/Nymph(Breeding Ground),Alluvial Soil,Paddock Only,"(Decimal('-49.327029'), Decimal('-165.515499'))"
2023-02-07,Mandera West District,Vegetable Crops,924.9550305326724,Wet Season/Short Rains(November-December),Spur Throated Locusts,Eggs(Breeding Ground),Laterite Soil,Entire Area,"(Decimal('85.796299'), Decimal('167.408766'))"
2023-08-18,Masaba District,Fruit Orchards,128.12825812649206,Dry/Warm Season(September-October),Bombay Locust ( Nomadacris succincta),Adults,Alluvial Soil,Entire Area,"(Decimal('0.063073'), Decimal('23.393834'))"
2020-12-03,Gatanga District,Pasture and Grasslands,175.2142935143577,Dry/Cold Season(July-August),Migratory locust (Locusta migratoria),Hoppers/Nymph(Breeding Ground),Loose Sandy Soil,Unknown,"(Decimal('-74.9281375'), Decimal('-142.759213'))"
2023-10-05,Bondo District,Fruit Orchards,976.9615941435537,Wet Season/Short Rains(November-December),Unknown,Hoppers/Nymph(Breeding Ground),Peat Soil,Entire Area,"(Decimal('-10.350260'), Decimal('103.056589'))"
2022-08-19,,Fruit Orchards,861.0691560619521,Wet Season/Short Rains(November-December),Grasshoppers,Hoppers/Nymph(Breeding Ground),Alluvial Soil,Entire Field,"(Decimal('-1.6403665'), Decimal('-99.727772'))"
2020-07-09,Lari District,Pasture and Grasslands,747.1081883299713,Dry/Hot Season(January-March),Red locust (Nomadacris septemfasciata),Adults,Loam Soil,Paddock Only,"(Decimal('-77.0808675'), Decimal('38.815974'))"
2021-12-15,Nyeri South District,Pasture and Grasslands,208.28223038120873,Wet Season/Short Rains(November-December),Tree locust (Anacridium sp.),Eggs(Breeding Ground),Unknown,Unknown,"(Decimal('11.0116625'), Decimal('0.606016'))"
2022-04-03,Naivasha District,Vegetable Crops,965.094555857378,Wet Season/Short Rains(November-December),Grasshoppers,Fledglings(Young Adults),Alluvial Soil,Entire Field,"(Decimal('0.361299'), Decimal('3.397339'))"
2020-02-29,Kandara District,Staple Crops,100.3916513165469,Dry/Hot Season(January-March),Desert Locusts(Schistocerca gregaria),Fledglings(Young Adults),Peat Soil,Entire Area,"(Decimal('74.441411'), Decimal('82.585241'))"
2020-05-02,Mbita District,Pasture and Grasslands,230.97206439554935,Dry/Warm Season(September-October),Migratory locust (Locusta migratoria),Adults,Loose Sandy Soil,Entire Area,"(Decimal('-38.9658235'), Decimal('87.192859'))"
2022-11-17,Kaloleni District,Pasture and Grasslands,289.1906598918819,Dry/Warm Season(September-October),Unknown,Adults,Alluvial Soil,Entire Area,"(Decimal('-50.2345855'), Decimal('-129.507015'))"
2022-10-10,Butere District,Staple Crops,6.480313927831235,Short Rains/Wet Season(April-June),Migratory locust (Locusta migratoria),Fledglings(Young Adults),Loose Sandy Soil,Unknown,"(Decimal('-41.556877'), Decimal('-35.347864'))"
2023-06-11,Imenti South District,Fruit Orchards,979.5483775442444,Short Rains/Wet Season(April-June),Grasshoppers,Adults,Clay Soil,Entire Field,"(Decimal('-74.030808'), Decimal('156.080409'))"
2021-07-02,Malindi District,Fruit Orchards,556.6476056432487,Wet Season/Long Rains(April-June),Desert Locusts(Schistocerca gregaria),Eggs(Breeding Ground),Loose Sandy Soil,Unknown,"(Decimal('15.2551925'), Decimal('-108.343886'))"
2023-05-09,Samburu Central District,Pasture and Grasslands,752.3046486096475,Dry/Hot Season(January-March),Desert Locusts(Schistocerca gregaria),Hoppers/Nymph(Breeding Ground),Clay Soil,Entire Area,"(Decimal('69.098599'), Decimal('-77.393447'))"
2021-09-10,Kyuso District,Pasture and Grasslands,340.60259336489054,Wet Season/Long Rains(April-June),Desert Locusts(Schistocerca gregaria),Hoppers/Nymph(Breeding Ground),Loose Sandy Soil,Unknown,"(Decimal('-22.261160'), Decimal('0.386895'))"
2023-11-11,Eldoret West District,Vegetable Crops,288.24681629160557,Dry/Warm Season(September-October),Tree locust (Anacridium sp.),Fledglings(Young Adults),Unknown,Entire Area,"(Decimal('-70.1202415'), Decimal('34.078543'))"
2024-02-04,Kajiado South District,Pasture and Grasslands,724.3127517727864,Dry/Hot Season(January-March),Spur Throated Locusts,Unknown,Unknown,Entire Area,"(Decimal('58.561855'), Decimal('115.729183'))"
2021-04-12,Narok South District,Staple Crops,70.30525817782484,Dry/Warm Season(September-October),Spur Throated Locusts,Unknown,Loose Sandy Soil,Entire Field,"(Decimal('66.696371'), Decimal('-35.802953'))"
2022-11-16,Msabweni District,Vegetable Crops,907.3132735968833,Wet Season/Long Rains(April-June),Grasshoppers,Hoppers/Nymph(Breeding Ground),Alluvial Soil,Entire Area,"(Decimal('13.850231'), Decimal('-172.023193'))"
2023-10-06,Laikipia North District,Staple Crops,961.0201730325804,Dry/Hot Season(January-March),Red locust (Nomadacris septemfasciata),Eggs(Breeding Ground),Unknown,Paddock Only,"(Decimal('-9.779514'), Decimal('-167.472967'))"
2020-03-21,Nyamache District,Staple Crops,913.4330712342878,Dry/Warm Season(September-October),Desert Locusts(Schistocerca gregaria),Hoppers/Nymph(Breeding Ground),Laterite Soil,Paddock Only,"(Decimal('75.2663425'), Decimal('147.957856'))"
2020-02-23,Mukurweini District,Vegetable Crops,660.6010369727293,Dry/Cold Season(July-August),Desert Locusts(Schistocerca gregaria),Eggs(Breeding Ground),Loose Sandy Soil,Paddock Only,"(Decimal('-71.166083'), Decimal('-120.454246'))"
2023-03-27,Kirinyaga East District,Staple Crops,710.0549308317821,Short Rains/Wet Season(April-June),Red locust (Nomadacris septemfasciata),Fledglings(Young Adults),Alluvial Soil,Paddock Only,"(Decimal('89.4676195'), Decimal('-146.980368'))"
2023-07-14,Samburu Central District,Vegetable Crops,104.06988327606938,Wet Season/Short Rains(November-December),Unknown,Fledglings(Young Adults),Unknown,Unknown,"(Decimal('1.1828135'), Decimal('44.547557'))"
2020-11-20,Bungoma North District,Staple Crops,57.54760358585051,Short Rains/Wet Season(April-June),Desert Locusts(Schistocerca gregaria),Fledglings(Young Adults),Loose Sandy Soil,Entire Area,"(Decimal('-79.780724'), Decimal('68.229450'))"
2024-02-03,Matungulu District,Staple Crops,861.6366592703514,Dry/Hot Season(January-March),Desert Locusts(Schistocerca gregaria),Hoppers/Nymph(Breeding Ground),Peat Soil,Entire Field,"(Decimal('-11.3610845'), Decimal('55.626914'))"
2023-10-15,Imenti North District,Unknown,333.3198559249347,Dry/Cold Season(July-August),Bombay Locust ( Nomadacris succincta),Adults,Loam Soil,Unknown,"(Decimal('-50.4283125'), Decimal('76.033277'))"
2022-01-22,Igembe North District,Pasture and Grasslands,432.2972301168093,Dry/Warm Season(September-October),Grasshoppers,Adults,Alluvial Soil,Unknown,"(Decimal('83.068170'), Decimal('-22.428652'))"
2022-07-07,Kathonzweni District,Unknown,127.52910833480398,Wet Season/Short Rains(November-December),Migratory locust (Locusta migratoria),Eggs(Breeding Ground),Loose Sandy Soil,Unknown,"(Decimal('-38.870945'), Decimal('23.061942'))"
2021-10-23,Malindi District,Unknown,21.023192677426906,Dry/Hot Season(January-March),Migratory locust (Locusta migratoria),Unknown,Loam Soil,Entire Field,"(Decimal('-33.204713'), Decimal('-158.244603'))"
2023-07-30,Mandera North District,Pasture and Grasslands,98.92840931063493,Dry/Warm Season(September-October),Desert Locusts(Schistocerca gregaria),Unknown,Peat Soil,Paddock Only,"(Decimal('45.6417175'), Decimal('132.549610'))"
2020-12-13,Wajir West District,Vegetable Crops,106.83509826503176,Dry/Warm Season(September-October),Grasshoppers,Hoppers/Nymph(Breeding Ground),Unknown,Entire Area,"(Decimal('70.418797'), Decimal('133.515983'))"
2021-04-19,Taita District,Fruit Orchards,360.63121741520735,Dry/Cold Season(July-August),Red locust (Nomadacris septemfasciata),Fledglings(Young Adults),Unknown,Entire Field,"(Decimal('71.961217'), Decimal('-83.803673'))"
2020-11-06,Manga District,Pasture and Grasslands,447.86265388349136,Wet Season/Long Rains(April-June),Unknown,Eggs(Breeding Ground),Laterite Soil,Entire Field,"(Decimal('31.362834'), Decimal('-88.753324'))"
2021-07-03,Nyeri South District,Unknown,296.9032539222067,Wet Season/Long Rains(April-June),Bombay Locust ( Nomadacris succincta),Unknown,Peat Soil,Unknown,"(Decimal('-7.197598'), Decimal('121.552311'))"
2022-02-05,Loitoktok District,Pasture and Grasslands,524.5322495255705,Dry/Warm Season(September-October),Unknown,Unknown,Laterite Soil,Entire Field,"(Decimal('23.944669'), Decimal('-47.624559'))"
2021-09-12,Igembe North District,Fruit Orchards,255.39019235844768,Dry/Warm Season(September-October),Grasshoppers,Eggs(Breeding Ground),Peat Soil,Paddock Only,"(Decimal('85.696301'), Decimal('-89.984619'))"
2021-07-16,Narok North District,Vegetable Crops,697.6675113046012,Dry/Warm Season(September-October),Bombay Locust ( Nomadacris succincta),Hoppers/Nymph(Breeding Ground),Unknown,Entire Field,"(Decimal('-57.210450'), Decimal('-115.326876'))"
2023-12-11,Mombasa District,Vegetable Crops,828.8563892949776,Wet Season/Short Rains(November-December),Tree locust (Anacridium sp.),Hoppers/Nymph(Breeding Ground),Loose Sandy Soil,Paddock Only,"(Decimal('-79.1502655'), Decimal('-23.860021'))"
2023-03-09,Marsabit South District,Fruit Orchards,872.4152330150079,Dry/Hot Season(January-March),Tree locust (Anacridium sp.),Unknown,Peat Soil,Unknown,"(Decimal('30.3772675'), Decimal('29.212279'))"
2020-02-05,Mombasa District,Fruit Orchards,762.832006484899,Dry/Warm Season(September-October),Tree locust (Anacridium sp.),Unknown,Laterite Soil,Entire Area,"(Decimal('22.758339'), Decimal('33.200527'))"
2022-11-24,Rachuonyo South District,Pasture and Grasslands,385.6609157543934,Dry/Hot Season(January-March),Migratory locust (Locusta migratoria),Adults,Loose Sandy Soil,Paddock Only,"(Decimal('-52.8599345'), Decimal('-162.123210'))"
2020-06-15,Mbooni West District,Vegetable Crops,967.2869374922418,Dry/Warm Season(September-October),Bombay Locust ( Nomadacris succincta),Hoppers/Nymph(Breeding Ground),Loose Sandy Soil,Unknown,"(Decimal('79.107638'), Decimal('82.525387'))"
2022-11-05,Kirinyaga East District,Unknown,393.5888360084774,Wet Season/Long Rains(April-June),Bombay Locust ( Nomadacris succincta),Hoppers/Nymph(Breeding Ground),Unknown,Entire Area,"(Decimal('80.8731095'), Decimal('-2.572706'))"
2023-02-17,Molo District,Pasture and Grasslands,385.97955139577556,Dry/Cold Season(July-August),Migratory locust (Locusta migratoria),Hoppers/Nymph(Breeding Ground),Laterite Soil,Paddock Only,"(Decimal('-17.298433'), Decimal('-78.151131'))"
2021-01-10,Gatanga District,Staple Crops,624.7163200492332,Dry/Warm Season(September-October),Tree locust (Anacridium sp.),Unknown,Loam Soil,Entire Area,"(Decimal('-47.235880'), Decimal('85.190566'))"
2024-05-15,Kilungu District,Vegetable Crops,974.6848818793309,Wet Season/Short Rains(November-December),Unknown,Adults,Peat Soil,Unknown,"(Decimal('35.4735525'), Decimal('-75.203240'))"
2022-06-12,Gatanga District,Fruit Orchards,614.087537737977,Wet Season/Short Rains(November-December),Desert Locusts(Schistocerca gregaria),Fledglings(Young Adults),Clay Soil,Paddock Only,"(Decimal('-0.428065'), Decimal('28.619437'))"
2023-11-24,Njoro District,Fruit Orchards,942.3959250114261,Wet Season/Short Rains(November-December),Red locust (Nomadacris septemfasciata),Hoppers/Nymph(Breeding Ground),Loose Sandy Soil,Unknown,"(Decimal('-40.102108'), Decimal('124.845471'))"
2024-03-26,Mbita District,Fruit Orchards,94.88376717779485,Short Rains/Wet Season(April-June),Spur Throated Locusts,Unknown,Peat Soil,Unknown,"(Decimal('-21.1637085'), Decimal('-46.718641'))"
2023-11-08,Bungoma North District,Unknown,543.161661820583,Wet Season/Long Rains(April-June),Migratory locust (Locusta migratoria),Hoppers/Nymph(Breeding Ground),Peat Soil,Unknown,"(Decimal('37.960153'), Decimal('101.945463'))"
2022-10-18,Nakuru North District,Vegetable Crops,48.683446892447925,Wet Season/Short Rains(November-December),Tree locust (Anacridium sp.),Eggs(Breeding Ground),Peat Soil,Entire Area,"(Decimal('58.362532'), Decimal('158.591160'))"
2020-03-05,Mbita District,Vegetable Crops,898.524934594922,Short Rains/Wet Season(April-June),Red locust (Nomadacris septemfasciata),Fledglings(Young Adults),Clay Soil,Unknown,"(Decimal('-59.2366935'), Decimal('-153.364861'))"
2020-11-01,Lagdera District,Staple Crops,578.3848398401152,Dry/Hot Season(January-March),Desert Locusts(Schistocerca gregaria),Fledglings(Young Adults),Alluvial Soil,Entire Area,"(Decimal('-15.9874565'), Decimal('-9.755204'))"
2022-07-01,Mbooni West District,Vegetable Crops,411.43434531314017,Dry/Warm Season(September-October),Grasshoppers,Eggs(Breeding Ground),Loam Soil,Entire Field,"(Decimal('19.865066'), Decimal('106.599410'))"
2022-04-13,East Pokot District,Pasture and Grasslands,727.7505525083828,Short Rains/Wet Season(April-June),Desert Locusts(Schistocerca gregaria),Fledglings(Young Adults),Unknown,Unknown,"(Decimal('-51.4342535'), Decimal('-109.228308'))"
2023-06-05,Suba District,Vegetable Crops,293.14339313688606,Dry/Warm Season(September-October),Red locust (Nomadacris septemfasciata),Unknown,Clay Soil,Entire Field,"(Decimal('-30.9852105'), Decimal('110.552636'))"
2023-01-19,Nyamira District,Staple Crops,659.9937336106325,Wet Season/Long Rains(April-June),Tree locust (Anacridium sp.),Fledglings(Young Adults),Clay Soil,Entire Area,"(Decimal('-22.1551655'), Decimal('-152.238570'))"
2020-01-02,West Pokot District,Pasture and Grasslands,70.08127684853422,Short Rains/Wet Season(April-June),Spur Throated Locusts,Adults,Laterite Soil,Unknown,"(Decimal('40.658254'), Decimal('-90.323818'))"
2021-08-22,Nzaui District,Fruit Orchards,485.87179111087397,Wet Season/Short Rains(November-December),Grasshoppers,Hoppers/Nymph(Breeding Ground),Loam Soil,Unknown,"(Decimal('-53.9592105'), Decimal('75.875622'))"
